id;day;trial;date;size;errors;time;rate_error;rate_time;degree_ornam;female_accep;neophobia;body_condition;degree_mat_female
M5;1;1;04/06/19;4.012;4;175;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;1;2;04/06/19;4.012;6;84;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;1;3;04/06/19;4.012;11;204;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;1;4;04/06/19;4.012;2;51;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;1;5;04/06/19;4.012;5;132;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;2;6;05/06/19;4.012;4;55;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;2;7;05/06/19;4.012;2;42;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;2;8;05/06/19;4.012;2;49;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;2;9;05/06/19;4.012;3;93;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;2;10;05/06/19;4.012;1;40;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;3;11;06/06/19;4.012;2;43;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;3;12;06/06/19;4.012;3;47;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;3;13;06/06/19;4.012;3;54;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;3;14;06/06/19;4.012;1;34;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
